price,city,region,district,floor,age,heating_type,total_floors,furnished_house,baths,rooms,salon,area,net area
18500,Ankara,Keçiören,Basınevleri,1. floor,25,Kombi,2,Eşyalı Değil,1,3,1,120,110
15000,Ankara,Keçiören,Aşağı Eğlence,Garden floor,45,Kombi,3,Eşyalı Değil,1,3,1,115,90
55000,Ankara,Çankaya,Güzeltepe,1. floor,16,Merkezi,23,Eşyalı,2,3,1,170,140
19000,Ankara,Çankaya,Yaşamkent,1. floor,0,Merkezi (Pay Ölçer),2,Eşyalı,1,1,1,50,45
22000,Ankara,Çankaya,Fakülteler,2. floor,35,Kombi,4,Eşyalı Değil,1,3,1,112,110
20000,Ankara,Gölbaşı,Gaziosmanpaşa,4. floor,11,Kombi,4,Eşyalı Değil,1,3,1,120,110
17000,Ankara,Mamak,Araplar,1. floor,6,Merkezi (Pay Ölçer),15,Eşyalı Değil,2,3,1,115,110
20000,Ankara,Çankaya,Öveçler,1. floor,22,Kombi,3,Eşyalı Değil,1,3,1,120,110
12000,Ankara,Polatlı,Cumhuriyet,-3,22,Kombi,3,Eşyalı,1,3,1,145,120
15000,Ankara,Polatlı,Fatih,Middle floor,15,Kombi,4,Eşyalı Değil,2,3,1,135,130
12000,Ankara,Polatlı,Zafer,3. floor,20,Kombi,3,Eşyalı,1,2,1,100,80
17000,Ankara,Çankaya,Fakülteler,3. floor,35,Kombi,4,Eşyalı Değil,1,3,1,130,100
15900,Ankara,Etimesgut,İstasyon,Last floor floor,15,Kombi,3,Eşyalı Değil,1,3,1,120,110
10000,Ankara,Mamak,Zirvekent,11. floor,10,Kombi,13,,1,2,1,85,80
50000,Ankara,Çankaya,Ümit,1. floor,25,Kombi,13,Eşyalı,2,3,1,145,135
33000,Ankara,Çankaya,Hilal,3. floor,21,Kombi,4,Eşyalı Değil,2,4,1,180,160
14000,Ankara,Mamak,Mehtap,1. floor,21,Kombi,3,Eşyalı Değil,1,3,1,105,100
55000,Ankara,Çankaya,Alacaatlı,20. floor,1,Merkezi (Pay Ölçer),20,Eşyalı,3,3,1,210,180
40000,Ankara,Yenimahalle,Yunus Emre,3. floor,18,Kombi,3,Eşyalı Değil,2,5,1,280,260
50000,Ankara,Çankaya,Cevizlidere,4. floor,9,Kombi,4,Eşyalı Değil,3,6,1,260,240
35000,Ankara,Çankaya,Çamlıtepe,Last floor floor,22,Merkezi,7,Eşyalı Değil,1,4,1,160,150
26000,Ankara,Çankaya,Sokullu Mehmet Paşa,3. floor,30,Kombi,3,Eşyalı Değil,1,4,1,160,140
50000,Ankara,Etimesgut,Erler,1. floor,20,Kombi,12,Eşyalı Değil,2,4,1,185,160
18000,Ankara,Keçiören,Atapark,2. floor,22,Kombi,3,,1,3,1,120,110
19000,Ankara,Mamak,Akşemsettin,3. floor,7,Kombi,6,Eşyalı Değil,1,3,1,125,120
35000,Ankara,Gölbaşı,Taşpınar,5. floor,4,Merkezi (Pay Ölçer),28,Eşyalı Değil,2,2,1,137,122
20000,Ankara,Çankaya,Harbiye,3. floor,20,Kombi,3,Eşyalı Değil,1,3,1,120,110
13900,Ankara,Etimesgut,Alsancak,High entrance,10,Kombi,3,Eşyalı Değil,1,3,1,120,110
31000,Ankara,Çankaya,Fidanlık,3. floor,0,Merkezi,5,Eşyalı,1,1,1,35,30
41000,Ankara,Altındağ,Güneşevler,11. floor,5,Merkezi (Pay Ölçer),14,Eşyalı,2,4,1,190,180
16000,Ankara,Çankaya,Şehit Cevdet Özdemir,3. floor,28,Kombi,3,Eşyalı Değil,1,3,4,120,105
14500,Ankara,Yenimahalle,Varlık,Entrance floor,20,Kombi,3,Eşyalı Değil,1,2,1,80,75
20000,Ankara,Çankaya,Şehit Cevdet Özdemir,High entrance,25,Kombi,3,Eşyalı Değil,1,3,1,105,100
19000,Ankara,Mamak,Akşemsettin,6. floor,8,Kombi,10,Eşyalı Değil,2,3,1,145,135
17500,Ankara,Gölbaşı,Eymir,Entrance floor,16,Kombi,5,Eşyalı Değil,1,2,1,95,90
43000,Ankara,Çankaya,İşçi Blokları,2. floor,22,Kombi,4,Eşyalı Değil,2,4,1,185,175
22500,Ankara,Etimesgut,Yeni Bağlıca,2. floor,6,Merkezi (Pay Ölçer),12,Eşyalı,1,1,0,44,40
17000,Ankara,Mamak,Şafaktepe,-2,20,Kombi,3,Eşyalı,1,3,1,110,100
18000,Ankara,Etimesgut,Topçu,High entrance,25,Kombi,7,Eşyalı Değil,1,3,1,125,115
23000,Ankara,Mamak,Abidinpaşa,2. floor,30,Kombi,5,Eşyalı Değil,1,3,1,105,95
12000,Ankara,Etimesgut,Yukarıyurtçu,2. floor,11,Merkezi (Pay Ölçer),11,Eşyalı Değil,1,2,1,85,76
25000,Ankara,Çankaya,Bahçelievler,Entrance floor,4,Kombi,4,Eşyalı,1,1,1,61,60
15000,Ankara,Çankaya,İncesu,-1,50,Kombi,4,Eşyalı Değil,1,3,1,100,90
16000,Ankara,Çankaya,İleri,-1,35,Kombi,3,Eşyalı Değil,1,1,1,80,70
20000,Ankara,Etimesgut,30 Ağustos,Entrance floor,11,Kombi,5,Eşyalı,1,2,1,90,70
16500,Ankara,Mamak,Harman,High entrance,11,Kombi,5,Eşyalı Değil,1,3,1,105,95
16500,Ankara,Altındağ,Aydınlıkevler,2. floor,40,Kombi,4,Eşyalı Değil,1,3,1,100,90
24750,Ankara,Çankaya,Alacaatlı,7. floor,4,Merkezi (Pay Ölçer),14,Eşyalı,1,1,1,65,55
25250,Ankara,Çankaya,Yıldızevler,-3,39,Merkezi,15,Eşyalı Değil,1,2,1,110,90
30000,Ankara,Çankaya,İşçi Blokları,1. floor,38,Kombi,14,,1,2,1,109,90
20000,Ankara,Sincan,Fevzi Çakmak,3. floor,13,Kombi,4,Eşyalı Değil,1,3,1,150,135
15000,Ankara,Etimesgut,Yapracık,8. floor,12,Merkezi (Pay Ölçer),13,Eşyalı Değil,1,3,1,117,92
20500,Ankara,Keçiören,Ayvalı,3. floor,25,Kombi,5,Eşyalı Değil,1,3,1,125,110
26000,Ankara,Çankaya,Keklik Pınarı,7. floor,33,Merkezi,9,Eşyalı Değil,1,3,1,130,120
23000,Ankara,Çankaya,Anıttepe,2. floor,35,Kombi,3,,1,3,1,130,120
26000,Ankara,Yenimahalle,Burç,3. floor,9,Merkezi,14,Eşyalı Değil,2,3,1,150,140
40000,Ankara,Keçiören,Adnan Menderes,9. floor,3,Merkezi (Pay Ölçer),17,Eşyalı Değil,2,4,1,250,220
15000,Ankara,Gölbaşı,İncek,1. floor,0,Kombi,3,Eşyalı Değil,1,1,1,55,50
20000,Ankara,Keçiören,Şenlik,3. floor,35,Kombi,3,Eşyalı Değil,1,3,1,145,140
24000,Ankara,Yenimahalle,Tepealtı,2. floor,0,Kombi,3,Eşyalı,1,1,1,50,40
25000,Ankara,Çankaya,Bahçelievler,Entrance floor,31,Kombi,3,Eşyalı Değil,1,3,1,130,120
14500,Ankara,Keçiören,Uyanış,High entrance,10,Kombi,3,Eşyalı Değil,1,3,1,130,125
20000,Ankara,Mamak,Şahintepe,2. floor,15,Kombi,3,Eşyalı Değil,1,3,1,130,125
10000,Ankara,Keçiören,Emrah,-1,38,Kombi,3,Eşyalı Değil,1,2,1,80,70
32000,Ankara,Etimesgut,Devlet,Entrance floor,4,Merkezi (Pay Ölçer),25,Eşyalı,1,2,1,95,90
18500,Ankara,Yenimahalle,Uğur Mumcu,3. floor,35,Merkezi,5,Eşyalı Değil,1,2,1,95,90
30000,Ankara,Çankaya,Aşıkpaşa,High entrance,1,Kombi,4,Eşyalı,1,3,1,95,90
21500,Ankara,Etimesgut,Göksu,13. floor,20,Merkezi (Pay Ölçer),17,Eşyalı Değil,1,1,1,80,70
16000,Ankara,Çankaya,Osman Temiz,-1,25,Kombi,2,Eşyalı Değil,1,3,1,115,100
